"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"DENUNCIA DE ROBO O HURTO","2019-01-09","1998-05-14",1001,"ADROGUE Nº 1","Buenos Aires","Importado","1998","","FURGON VIDRIADO","104","PEUGEOT","133","BOXER 320M 2.5D","1","Privado","Física","RAFAEL CALZADA","BUENOS AIRES","Masculino","1965","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-11","1997-08-06",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","BL","RENAULT 19 RT BIC.ABC","1","Privado","Física","J. MARMOL","BUENOS AIRES","Masculino","1996","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-10","1994-07-21",1005,"AVELLANEDA Nº 2","Buenos Aires","Importado","1994","","SEDAN","","RENAULT","","19.RN 1,4","1","Privado","Física","WILDE","BUENOS AIRES","No identificado","1985","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO","2019-01-31","1979-05-07",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1978","","UNIDAD TRACTORA","29","MERCEDES BENZ","19","LO 1114/48","1","Privado","Jurídica","MONTE GRANDE","BUENOS AIRES","No aplica","2017","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO","2019-01-07","2008-01-11",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Importado","2008","","PICK-UP CABINA DOBLE","158","DODGE","109","RAM 2500 SLT 4X4 TD HEAVY DUTY","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","No identificado","1952","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-16","1998-09-18",1047,"LANUS Nº 1","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","62","CORSA 4P GL 1.7 DIES BASE","1","Privado","Física","V.INDUSTRIALES","BUENOS AIRES","Masculino","1982","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-23","1997-11-06",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","1997","","FURGON VIDRIADO","37","RENAULT","37","TRAFIC CORTO DIESEL","1","Privado","Física","BANFIELD","BUENOS AIRES","No identificado","1967","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-31","2000-07-21",1055,"LUJAN Nº 1","Buenos Aires","Nacional","2000","","FURGON VIDRIADO C/A","37","RENAULT","EE","KANGOO RL EXPRESS DIE DA AA","1","Privado","Física","LUJAN","BUENOS AIRES","Masculino","1962","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-15","2000-08-09",1062,"MERLO Nº 1","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PUERTAS 1.0 N","1","Privado","Física","SANTA ANA","BUENOS AIRES","Masculino","1993","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-07","1998-08-03",1090,"SAN MIGUEL Nº 1","Buenos Aires","Importado","1998","","FURGON VIDRIADO","044","FIAT","130","DUCATO 1.9D P.C. 10","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Femenino","1965","Paraguay",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO","2019-01-16","2009-04-07",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","2009","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9 D PLC","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1981","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-23","1999-12-09",1096,"TIGRE Nº 1","Buenos Aires","Importado","1999","","FURGON VIDRIADO","044","FIAT","134","DUCATO 15 2.8D (CORTO)","1","Privado","Física","DON TORCUATO","BUENOS AIRES","Masculino","1980","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-23","2000-10-27",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS WIND 1.6 MPFI","1","Privado","Física","M.CORONADO","BUENOS AIRES","No identificado","1982","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-02","2007-05-08",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2007","","FURGON VIDRIADO","37","RENAULT","TE","KANGOO EXP CONFORT 1.9 AA","1","Privado","Física","B.VISTA- S.MIGUEL","BUENOS AIRES","No identificado","1976","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-31","1998-11-03",1144,"QUILMES Nº 3","Buenos Aires","Importado","1998","","MINIBUS VIDRIADO","047","FORD","132","TRANSIT 190-L","1","Privado","Física","QUILMES","BUENOS AIRES","Masculino","1980","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-14","2004-05-05",1145,"QUILMES Nº 4","Buenos Aires","Nacional","2004","","BERLINA 4 PTAS","37","RENAULT","NK","MEGANE EXPRESION TRI GNC","1","Privado","Física","QUILMES","BUENOS AIRES","Femenino","1974","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-18","2010-09-09",1145,"QUILMES Nº 4","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KD","PARTNER PRESENCE 1.4","1","Privado","Física","QUILMES","BUENOS AIRES","No identificado","1960","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-15","2004-01-19",1151,"AVELLANEDA Nº 4","Buenos Aires","Nacional","2004","","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","DA","PARTNER FURGON 1.9 D","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1971","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-03","2007-07-03",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1955","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-03","2000-08-23",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2000","","OTROS","08","CHEVROLET","83","CHEVROLET G.VITARA 5P 2.0 TDI","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","Femenino","1948","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-16","1995-01-18",1158,"TRES DE FEBRERO Nº 3","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS.","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","VILLA BOSCH","BUENOS AIRES","Masculino","1978","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-08","2001-02-23",1164,"MAR DEL PLATA Nº 06","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL -3P","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1994","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-04","2008-05-08",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1994","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-23","2005-07-27",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","2005","","FURGON CON ASIENTOS","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1992","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-03","2008-08-21",1177,"LOMAS DE ZAMORA Nº 6","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1979","Argentina",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-04","1999-08-04",1177,"LOMAS DE ZAMORA Nº 6","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL1.7 DIESEL A","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Masculino","1976","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-31","1999-11-05",1177,"LOMAS DE ZAMORA Nº 6","Buenos Aires","Nacional","1999","","S. WAGON","08","CHEVROLET","66","CORSA WAGON 5 PTAS GLS 1.7D","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1979","Perú",100,"06","PER"
"DENUNCIA DE ROBO O HURTO","2019-01-16","2007-07-27",1181,"TRES DE FEBRERO Nº 4","Buenos Aires","Nacional","2007","","FURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","CIUDADELA","BUENOS AIRES","Masculino","1965","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-11","1996-01-12",1184,"MAR DEL PLATA Nº 07","Buenos Aires","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC (BIC)","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1962","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-18","1993-04-19",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Importado","1993","","SEDAN","044","FIAT","286","DUNA SL 1.6","1","Privado","Física","ING. ADOLFO SOURDEAUX","BUENOS AIRES","Femenino","1981","Argentina",100,"06","ARG"
