"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO","2019-09-04","2001-07-30",1011,"BARADERO","Buenos Aires","Nacional","2001","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","BARADERO","BUENOS AIRES","No identificado","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-16","2000-01-07",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2000","","FURGON VIDRIADO C/AS","34","PEUGEOT","84","PARTNER 1.9D","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1977","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-02","1991-05-31",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","1991","","BERLINA 4 PTAS","37","RENAULT","60","RENAULT 9 TS","1","Privado","Física","RAMOS MEJIA-LA MATANZA","BUENOS AIRES","No identificado","1974","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO","2019-09-20","1996-12-18",1113,"SAN VICENTE","Buenos Aires","Nacional","1996","","COMBI 3000","29","MERCEDES BENZ","93","SPRINTER 310D/C3000","1","Privado","Física","GUERNICA","BUENOS AIRES","Masculino","1988","BOLIVIA",100,"06","BOL"
"DENUNCIA DE ROBO O HURTO","2019-09-13","2002-04-22",1118,"QUILMES Nº 2","Buenos Aires","Nacional","2002","","FURGON VIDRIADO C/AS","37","RENAULT","EE","KANGOO RL EXPRESS DIE DA AA","1","Privado","Física","BERNAL","BUENOS AIRES","Femenino","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-03","1998-11-19",1119,"MORON Nº 03","Buenos Aires","Nacional","1998","","FURGON VIDRIADO","37","RENAULT","86","TRAFIC CORTO NAF 2.2 C/DA","1","Privado","Física","MORON","BUENOS AIRES","Femenino","1986","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO","2019-09-25","1993-09-02",1120,"LA MATANZA Nº 03","Buenos Aires","Protocolo 21","1993","","SEDAN","055","HONDA","347","CIVIC 1.6","1","Privado","Física","VILLA MADERO","BUENOS AIRES","Femenino","1975","URUGUAY",100,"06","URY"
"DENUNCIA DE ROBO O HURTO","2019-09-19","1996-07-04",1134,"LANUS Nº 3","Buenos Aires","Nacional","1996","","CAMION TRACTOR","17","IVECO","89","150E20T","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-03","1999-03-31",1146,"MERLO Nº 2","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS.GLS 1.7 D","1","Privado","Física","MERLO","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-19","2007-01-18",1148,"LOMAS DE ZAMORA Nº 4","Buenos Aires","Nacional","2007","","FURGON VIDRIADO C/AS","37","RENAULT","TF","KANGOO EXP GRAND CONFORT 1.9","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Femenino","1974","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-27","1993-07-29",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","1993","","CHASIS C/CABINA P/ CAMION","29","MERCEDES BENZ","62","LS 1622/45","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","Masculino","1937","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-27","2004-05-04",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2004","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Femenino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-11","1983-08-08",1181,"TRES DE FEBRERO Nº 4","Buenos Aires","Nacional","1983","","PICK-UP C/CAJA MUDANCERA","19","FORD","11","F-100","1","Privado","Física","CIUDADELA","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-09-19","1996-10-24",1181,"TRES DE FEBRERO Nº 4","Buenos Aires","Importado","1996","","FURGON VIDRIADO","093","MITSUBISHI","016","L300 2.5 D","1","Privado","Física","CIUDADELA","BUENOS AIRES","Masculino","1961","ARGENTINA",100,"06","ARG"
